"Exported to CSV on Wednesday, September 6, 2023"

"Person ID External","Job Title","Company","Academic degree","Status","Start year","End year","employee_education_VFLD3","Area Of Studies","Area of emphasis","employee_education_VFLD5","Country of study","Institution","Title earned"
"2000005595","OPERARIO MAQUINARIA AGRICOLA","TEKIA S.A.S (GRA-CO04)",,,,,"2000005595",,,"2000005595",,,
"2000005600","OPERARIO DE CALIDAD","SATOR S.A.S (GRA-CO03)",,,,,"2000005600",,,"2000005600",,,
"2000005609","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","BACHELOR'S","GRADUATED","1998","2000","2000005609","AERONAUTICS",,"2000005609","COLOMBIA",,
"2000005609","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","HIGH SCHOOL","GRADUATED","1989","1995","2000005609","N/D",,"2000005609","COLOMBIA",,
"2000005609","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","BACHELOR'S","GRADUATED","2002",,"2000005609","LAW AND PUBLIC SECTOR",,"2000005609","COLOMBIA",,"DERECHO"
"2000005610","PILOTO","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","TECHNICAL (COL)","GRADUATED","1983","1985","2000005610",,,"2000005610","COLOMBIA",,
"2000005615","NEGOCIADOR(A)","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","BACHELOR'S","GRADUATED","2002","2006","2000005615","FINANCE",,"2000005615","COLOMBIA",,"CONTADURIA PUBLICA"
"2000005615","NEGOCIADOR(A)","SUMMA SERV. CORP. INTEGRALES (CEM-CO58)","SPECIALIZATION (COL)","GRADUATED","2008","2008","2000005615","FINANCE",,"2000005615","COLOMBIA",,"ESPECIALIZACION EN GERENCIA FINANCIERA"
"2000005617","DIRECCION AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)","GRADUATED","2003","2004","2000005617","NATURAL SCIENCES",,"2000005617","COLOMBIA",,"ESPECIALIZACION TECNOLOGICA EN GESTION AMBIENTAL MARINA Y COSTERA"
"2000005617","DIRECCION AMBIENTAL","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S","GRADUATED","1997","2001","2000005617","ENGINEERING",,"2000005617","COLOMBIA",,"INGENIERIA CIVIL"
"2000005625","OPERADOR DE TRITURADORA","SATOR S.A.S (GRA-CO03)","HIGH SCHOOL",,,,"2000005625",,,"2000005625","COLOMBIA",,"BACHILLERATO"
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","MASTER'S","GRADUATED","2010","2011","2000005626","N/D",,"2000005626","COLOMBIA","Universidad Externado de Colombia","MAESTRIA EN ASUNTOS INTERNACIONALES"
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)","GRADUATED","2015","2015","2000005626","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005626","COLOMBIA",,
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)","GRADUATED","2003","2003","2000005626","N/D",,"2000005626","COLOMBIA",,
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)","GRADUATED","2004","2004","2000005626","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005626","COLOMBIA",,
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","HIGH SCHOOL","GRADUATED","1974","1986","2000005626","N/D",,"2000005626","COLOMBIA",,"BACHILLERATO"
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)","GRADUATED","2004","2004","2000005626","SOCIAL SCIENCES",,"2000005626","COLOMBIA","Pontificia Universidad Javeriana","ESPECIALIZACION EN RESOLUCION DE CONFLICTOS"
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","BACHELOR'S","GRADUATED","1987","1993","2000005626","ENGINEERING",,"2000005626","COLOMBIA","Universidad Pontificia Bolivariana","INGENIERIA MECANICA"
"2000005626","GERENTE","INTERNACIONAL EJECUTIVA DE AVIACION S.A.S (GRA-CO02)","SPECIALIZATION (COL)","GRADUATED","2019","2020","2000005626","FINANCE",,"2000005626","COLOMBIA",,
"2000005628","OPERARIO(A) GENERAL PROYECTOS","ZONA FRANCA ARGOS S.A.S (CEM-CO04)",,,,,"2000005628",,,"2000005628",,,
"2000005629","LIDER SR LEGAL NDU","GRUPO ARGOS S.A. (GRA-CO01)","HIGH SCHOOL","GRADUATED","1997","2002","2000005629","HUMANITIES",,"2000005629","COLOMBIA",,"BACHILLERATO"
"2000005629","LIDER SR LEGAL NDU","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)","GRADUATED","2009","2010","2000005629","LAW AND PUBLIC SECTOR",,"2000005629","COLOMBIA","Universidad Sergio Arboleda","ESPECIALIZACION EN DERECHO PROBATORIO"
"2000005629","LIDER SR LEGAL NDU","GRUPO ARGOS S.A. (GRA-CO01)","ELEMENTARY SCHOOL","GRADUATED","1992","1996","2000005629","EDUCATION",,"2000005629","COLOMBIA",,"BACHILLERATO"
